ip,ports_set
116.253.213.64,22
116.62.105.103,24377
116.62.167.172,22
116.62.206.129,"8888,443"
116.62.226.163,"80,22"
116.62.231.151,"1433,888,89,80"
116.62.33.140,"80,22"
116.71.136.125,53038
117.23.164.155,"10098,10097,10096,10094,10093,10092,10091,10090,10086,10000,9999,9998,9090,8443,8082,7777,7070,7055,5222,80"
117.247.111.70,"8080,1521,22"
117.34.73.69,12012
117.50.119.17,22
117.50.137.84,"15296,8002,3306,888,443,80,22"
117.50.51.119,"18522,8522,3306,852,443,80,21"
117.50.51.198,"80,22"
117.50.70.125,"22,21"
117.50.73.90,22
117.72.105.186,"63791,48081,39026,33061,33060,8765,7500,7000,6199,6099,4999,443,80"
117.72.157.108,"6379,80,22"
117.72.160.131,"25565,22"
117.72.183.216,3389
117.72.184.172,"22203,8086,5003,5000,3000,1080,22"
117.72.184.91,"54321,9001,9000,5432"
117.72.202.14,"29848,28848,28081,27500,27000,20180,20122,19200,16379,15601,13306,10022,801"
117.72.211.165,"16020,9870,8020,3307,2181,22"
117.72.216.170,"6379,22"
117.72.37.75,22
117.72.51.84,"9005,9004,8080,6002,6000,4873,2222,443,80"
118.107.44.99,6379
118.127.40.41,"443,80"
118.186.208.20,"18443,12353,12343,12333,12253,12243,12153,12143,12133,22"
118.186.3.158,"12133,12132,12123,12122,12113,12112,10833,10823,10813,10133,10123,10113,22"
118.253.182.123,"8888,3389,3306"
118.26.168.42,"9088,80,22"
118.31.249.253,22
118.31.71.233,"9000,8081,22"
118.31.76.150,"6379,1922,80"
118.70.128.176,"47861,46844,45532,43903,43804,43778,43194,41714,41028,39959,39288,38924,38728,38367,37987,35884,35858,34906,34027,31376,9020,9010,8036,8005,8004,8003,8002,558,555,100"
119.187.149.238,"18081,10005,10004,10003,10002,10001,10000,9000,8443,8091,8090,8002,7980,4001,3022,80,22"
119.188.67.108,"48103,48102,48101,48100,48091,48089,48088,48087,48086,48085,48083,48082,48081,48080,48071,48070,48069,48068,48067,48066,33060,18080,10848,10005,10004,10003,10002,10001,10000,9999,9848,9090,8848,6379,3306,443,80,22"
119.209.12.20,3306
119.96.157.188,22
119.96.173.169,22
119.96.174.235,22
119.96.92.172,22
119.96.99.124,"12880,22"
120.132.118.254,"8002,6388,6081,5366,4368,81"
120.157.64.29,"541,179"
120.205.80.220,22
120.220.76.155,"34567,23456,8887,6688,5432,3308,3002,2789,2222,2022,1935,1898,888,443,80"
120.24.174.153,3306
120.24.185.178,"22000,21000,8009,22"
120.24.240.112,22
120.24.64.74,"111,81,22"
120.27.122.20,"43919,41297,7003,7001,5432,2181,443,80,22"
120.27.153.56,22
120.27.194.135,"65533,65532,65529,6688,6006,6004,6002,6001,3306,1521,1031"
120.28.109.188,7547
120.55.59.135,"58668,8088,8081"
120.71.149.30,"26656,1188,22"
120.76.129.140,"443,22"
120.78.179.70,22
120.78.5.126,22
120.78.6.241,3306
120.78.81.136,"8888,5003,5001,443,22,21"
120.79.218.177,42052
121.15.140.235,"65500,51001,20081,20080,21"
121.196.16.13,"15672,8301,8090,8086,8085,8084,8083,443,22"
121.196.184.58,"9000,8080,8022,8021,8009,8002,8000,3306,80"
121.196.215.180,"8070,6379,443,22"
121.197.0.214,"9999,5005,3389,3306,1026,80,21"
121.229.202.41,"17072,16001,15672,10000,9901,9001,9000,8554,8402,8401,8090,8080,7779,7778,7777,7053,7050,7003,7001,6004,6003,6002,6001,6000,5672,5657,5656,5160,5159,5158,5157,5156,5155,5154,5153,5152,5151,5150,4505,4458,4453,3389,3302,3301,3021,1935,1883,1433,80"
121.237.176.2,"65443,48080,8090,8089,8004,111,81,22"
121.40.165.6,"8433,3389"
121.40.18.128,"8888,8000,7880,3443,666,80,22"
121.40.34.125,"9039,9038,9029,9028,9019,22"
121.41.113.134,"80,22"
121.41.15.21,"8000,7654,3306,3080,3022,443,22"
121.41.225.206,"9999,3389,3306,1045,1026,21"
121.41.43.82,"1000,22"
121.41.67.17,"39000,19951,888,443,80,22"
121.43.178.245,"37126,22"
122.114.69.235,3306
122.155.223.9,"65222,80,22"
122.156.167.62,"23380,19981,19922,18088,11506,9042,8909,8907,8906,8905,8904,8903,8902,8901,8900,8800,8689,8589,8489,8443,8389,8182,7822,7821,7790,6369,5251,4983,4980,4922,4906,4380,4322,4321,4306,4280,4222,4206,4188,4122,4106,3288,3188,3180,3122,3106,2723,2380,2322,2321,2306,2180,2122,2121,2106,1980,1922,1921,1883,1822,1795,1306,1199"
122.224.50.41,22
123.129.230.99,"49173,49165,49164,49155,49154,49153,49152,47001,8088,7766,7009,7008,7007,7006,7005,7000,6000,5985,5600,5555,5100,5000,3389,3306,3201,1433,99,80"
123.141.253.53,23483
123.56.141.52,"9292,8902,8901,8891,8888,8777,8766,8666,8080,8001,5699"
123.56.202.186,"37459,888,22,21"
123.56.217.172,"60104,6379"
124.163.255.210,"2000,443"
124.226.212.169,"8109,1433,22"
124.226.216.189,22
124.236.108.141,"143,110"
124.236.108.172,"143,110"
124.251.110.186,2000
124.43.179.253,"3389,1433,443"
125.122.156.134,22
125.122.36.17,"30888,17000,14002,14001,9300,8053,7512,7511,6030,6029,6028,6027,6026,6025,6024,6023,6022,6021,6020,6019,6018,6017,6016,6015,6014,6013,6012,6011,6010,6009,6008,6007,6006,6005,6004,6003,6002,6001,5060,22,21"
125.124.149.14,"1080,22"
125.124.178.223,"20008,22"
125.124.183.254,"1080,22"
125.124.225.159,"38051,38050,30168,19529"
125.124.42.183,"50642,36690,32745,30013,20048,10250,6443,2049,179,111,22"
125.132.7.228,3000
125.17.108.32,53
125.74.128.224,"32638,32636,32633,32631,31547,25679,10250,10248,9100,4244,4240,1919,111,22"
125.74.193.225,"1919,22"
125.74.88.246,22
125.75.110.72,22
125.76.228.194,"22,21"
125.91.106.241,"8899,8888,880,22"
125.91.33.72,3000
128.1.33.49,22
128.201.9.152,"443,80"
129.227.85.23,"17654,4430,2000,53"
129.45.84.119,22
134.122.50.13,"16499,14059,12957,12785,12707,12436,12144"
134.122.57.152,31632
134.122.91.170,7440
134.209.165.9,56652
134.209.93.194,542
135.225.84.187,22
136.232.11.10,"443,22"
137.74.90.91,22818
139.129.16.53,22
139.196.75.248,"3389,1042,85,83,80"
14.103.152.56,9200
14.103.203.191,18083
14.116.156.100,22
14.161.6.41,7900
14.22.89.30,22
14.29.170.54,"9993,22"
14.29.175.242,22
14.29.185.239,22
14.29.196.13,22
14.29.198.130,3000
14.29.206.99,22
14.29.208.128,"8899,8888,22"
14.29.212.131,22
14.29.214.161,"3306,1521,22"
14.29.215.148,"10860,8090,3389,2113"
14.29.224.105,"23000,22122,8090,6379,5005,3306,80,22"
14.29.228.33,22
14.29.233.216,22
14.29.238.151,22
14.29.240.154,"2626,22"
14.29.250.147,22
14.63.160.31,21
140.238.186.185,80
140.249.22.89,"44867,22"
141.98.152.162,2394
142.93.233.129,25064
142.93.238.81,9999
144.172.94.208,8888
144.31.25.22,"52649,52648,52575,51870,51869,51868,51867,51865,51864,51863,51862,51858,51854,51853,51851,51849,51847,51843,51811,51810,51806,9767,2802,2799,677"
146.158.65.208,"3333,80,23,22"
147.139.164.196,"3306,80,22,21"
147.139.195.155,"80,22"
147.139.199.208,22
147.139.204.147,22
147.139.243.37,22
147.182.211.185,22
147.185.132.163,11991
147.185.132.40,11855
147.185.132.85,17461
148.72.168.29,22
150.138.115.76,"44867,22"
150.139.194.15,"25672,15672,5672,22"
150.139.201.247,"18279,9813,9810,9809,9805,9804,9803,9802,9801"
150.223.20.12,"60002,8081,22"
150.223.24.31,"9000,7777,3231,22"
150.95.157.171,"10000,80,22,21"
153.101.132.65,22
153.99.92.11,"15672,10021,9999,9526,8888,8443,5672,3306,83,82,22"
153.99.94.71,22
153.99.94.91,22
154.124.231.236,3389
154.82.111.18,22
154.82.113.12,"9999,80,22"
154.82.84.134,"5200,5100,3306,80,22"
154.91.81.224,22
154.91.90.27,"80,22"
156.232.13.234,"24884,24883"
157.230.190.227,4646
157.245.201.88,22
159.203.6.120,22
159.223.11.244,9377
159.223.231.221,25061
159.223.235.202,32227
159.65.203.219,430
160.174.129.232,7547
160.174.130.48,7547
160.187.240.213,22
160.202.228.151,"39147,35911,35777,35742,35715,28842,28734,28724,28491,27711,27208,24529,24513,24478,24315,24130,17835,17815,17779,17739,17715,17595,17426,17418,17416,17409,17380,17365,17286,17254,17163,17157,17038,16959,16951,13505,13458,13434,13357,13355,13351,13294,13292,13269,13268,13260,13254,13243,13230,13200,13192,13177,13112,13072,13044,13035,13029,13025,13005,12980,12944,12930,12916,12913,12908,12907,12904,12903,12900,12899,12893,12892,12869,12864,12858,12853,12848,12763,12749,12731,12703,12691,12690,12680,12679,12677,12675,12673,12665,12662,12653,12649,12628,12620,12619,12592,12587,12586,12542,12521,12504,12502,12499,12497,12494,12493,12477,12475,12473,12466,12456,12455,12438,12431,12420,12380,12379,12356,12336,12334,12306,12290,12288,12284,12245,12204,12184,12054,12040,12039,12009,12007,11996,11962,11958,11953,11945,11940,11932,11913,11887,11882,11858,11839,11829,11816,11766,11735,11720,11707,11692,11667,11646,11643,11628,11572,11568,11564,11563,11562,11549,11543,11512,11503,11469,11433,11432,11420,11419,11418,11417,11415,11414,11412,11406,11403,11392,11386,11385,11382,11337,11309,11277,11273,11242,11192,11189,11141,11115,11099,11089,11065,11056,11050,11021,10967,10942,10918,10908,10859,10848,10832,10824,10816,10811,10809,10806,10785,10768,10757,10746,10743,10741,10740,10739,10738,10729,10727,10722,10702,10699,10697,10689,10687,10679,10678,10650,10642,10641,10637,10614,10607,10586,10585,10582,10577,10571,10567,10541,10515,10509,10486,10484,10465,10461,10454,10446,10445,10442,10441,10436,10435,10434,10433,10430,10427,10426,10425,10420,10413,10406,10391,10389,10367,10366,10352,10319,10314,10310,10308,10306,10304,10296,10277,10262,10259,10243,10235,10233,10231,10215,10212,10211,10198,10185,10179,10170,10147,10144,10107,10106,10096,10086,10069,10068,10058,10044,10040,10033,10029,10016,9988,9982,9974,9938,9932,9931,9910,9893,9888,9864,9860,9838,9815,9804,9801,9789,9784,9774,9765,9753,9744,9725,9719,9715,9701,9675,9672,9671,9621,9608,9598,9593,9592,9582,9578,9575,9558,9556,9526,9501,9448,9440,9429,9424,9408,9392,9373,9365,9358,9350,9347,9342,9321,9306,9301,9282,9276,9272,9259,9258,9248,9243,9240,9236,9227,9226,9224,9213,9193,9188,9187,9130,9122,9116,9105,9066,9064,9052,9047,9039,9038,9033,9028,9024,9016,9003,9002,8994,8990,8960,8955,8948,8945,8942,8941,8929,8909,8902,8862,8859,8853,8852,8851,8849,8846,8844,8843,8842,8841,8839,8838,8826,8811,8795,8762,8744,8741,8704,8676,8673,8622,8618,8608,8598,8593,8582,8576,8575,8568,8562,8557,8553,8540,8529,8528,8527,8522,8520,8518,8514,8505,8503,8489,8487,8486,8478,8467,8447,8441,8440,8422,8420,8370,8350,8338,8321,8272,8222,8221,8210,8183,8162,8160,8140,8130,8104,8102,8073,8071,8067,8060,8058,8053,8047,8043,8022,8019,8018,8013,7999,7990,7979,7972,7970,7965,7961,7941,7937,7935,7919,7914,7911,7868,7848,7847,7841,7831,7826,7814,7810,7782,7762,7749,7742,7717,7703,7638,7623,7616,7615,7605,7604,7597,7585,7568,7560,7541,7534,7532,7526,7512,7496,7478,7463,7439,7426,7413,7407,7405,7402,7397,7375,7373,7370,7350,7340,7338,7307,7294,7291,7263,7256,7255,7251,7249,7248,7247,7246,7245,7239,7235,7222,7221,7168,7073,7055,7048,7039,7038,7021,7020,7006,7000,6965,6948,6944,6928,6921,6883,6865,6864,6840,6836,6807,6802,6792,6788,6785,6781,6779,6770,6763,6760,6756,6740,6708,6702,6694,6690,6688,6683,6681,6668,6663,6646,6631,6617,6614,6608,6570,6568,6565,6557,6553,6552,6532,6516,6508,6507,6499,6496,6495,6491,6490,6489,6485,6482,6480,6478,6469,6455,6454,6451,6441,6438,6431,6430,6422,6415,6414,6404,6402,6379,6369,6368,6345,6341,6323,6303,6296,6287,6285,6262,6260,6256,6254,6242,6239,6222,6189,6172,6163,6160,6153,6152,6144,6139,6127,6125,6121,6119,6117,6112,6107,6098,6092,6091,6076,6066,6062,6054,6044,6043,6028,6021,6019,5996,5988,5984,5974,5961,5958,5955,5946,5945,5933,5917,5905,5900,5898,5894,5887,5885,5883,5872,5870,5860,5857,5855,5847,5844,5843,5838,5834,5833,5831,5816,5814,5813,5810,5766,5764,5760,5754,5751,5746,5737,5709,5680,5652,5595,5581,5525,5514,5471,5458,5451,5399,5383,5366,5364,5358,5356,5355,5349,5342,5340,5331,5322,5310,5282,5279,5273,5269,5235,5231,5225,5188,5181,5114,5108,5094,5092,5089,5086,5084,5082,5079,5060,5023,5018,5014,5003,4966,4965,4921,4917,4912,4909,4901,4869,4867,4864,4858,4855,4851,4829,4799,4745,4737,4701,4688,4642,4628,4561,4536,4470,4426,4417,4380,4348,4263,4256,4255,4248,4246,4245,4244,4238,4233,4149,4131,4114,4113,4070,4061,4056,4028,4017,4016,3983,3979,3955,3954,3951,3946,3926,3925,3889,3845,3814,3798,3783,3777,3774,3770,3762,3759,3714,3689,3668,3667,3666,3660,3658,3656,3650,3610,3578,3569,3544,3538,3492,3467,3444,3400,3380,3355,3349,3344,3338,3313,3301,3293,3289,3273,3264,3230,3218,3184,3152,3125,3102,3101,3098,3068,3045,3034,2988,2957,2956,2952,2934,2895,2890,2847,2832,2825,2822,2772,2732,2702,2690,2665,2660,2645,2639,2631,2626,2621,2610,2605,2587,2580,2574,2532,2530,2529,2519,2499,2494,2442,2437,2431,2427,2426,2423,2411,2406,2401,2388,2379,2364,2347,2303,2282,2259,2244,2181,2165,2143,2142,2141,2130,2127,2116,2113,2088,2073,2052,2026,1987,1986,1984,1983,1977,1924,1918,1879,1851,1838,1813,1810,1795,1775,1754,1752,1750,1744,1731,1724,1711,1710,1705,1688,1667,1665,1646,1622,1608,1602,1585,1553,1550,1520,1518,1508,1484,1463,1441,1414,1373,1360,1298,1291,1289,1252,1220,1185,1168,1142,1134,1132,1070,1054,1032,1028,1021,988,904,857,834,723,697,668,667,628,602,601,593,587,544,529,527,492,454,436,429,401,371,363,294,217,169,155,119,77,68,59,49,42,16,13"
160.250.133.64,8001
161.35.123.67,4646
161.35.149.222,2736
162.214.126.1,2095
162.216.149.188,14375
162.216.149.232,19916
162.216.149.46,16345
162.216.150.175,25263
162.216.150.199,"27609,12655"
162.216.150.204,24485
162.240.39.179,8009
164.163.18.146,"49152,37777,8686,554,90"
164.90.174.26,80
164.92.223.168,53891
165.154.10.250,22
165.154.118.215,22
165.16.112.134,"41297,5001,3306,2022,80"
165.232.131.66,7777
165.232.85.246,641
165.232.86.22,2443
167.114.38.196,"5101,5042,5035"
167.250.28.254,8291
167.71.4.164,"4145,3643,22"
167.71.7.226,80
168.121.72.162,7547
168.167.228.123,22
168.167.228.74,"80,22"
168.197.51.157,3022
168.90.66.80,"56942,8299,2000,80"
170.78.36.182,554
171.104.143.176,"8081,8080,80"
